"zipcode","city","list","position","lastname","firstname","gender","birthyear","profession","years_in_politics","years_abroad","languages","study_level","twitter","facebook","linkedin"
6250,"Aiseau-Presles","MR",11,"HENIN","Jean","M","","","","","","","","",""
6250,"Aiseau-Presles","MR",10,"HAUTENNE","Myriam","F","","","","","","","","",""
6250,"Aiseau-Presles","MR",9,"PEZZETTI","Victor","M","","","","","","","","",""
6250,"Aiseau-Presles","MR",8,"NGUETSOP-LONTCHI","Nicole","F","","","","","","","","",""
6250,"Aiseau-Presles","MR",7,"GILOT","Léon","M","","","","","","","","",""
6250,"Aiseau-Presles","MR",6,"AVICE","Lucette","F","","","","","","","","",""
6250,"Aiseau-Presles","MR",5,"ADAM","Charles","M","","","","","","","","",""
6250,"Aiseau-Presles","MR",4,"CAUCHIE","Florence","F","","","","","","","","",""
6250,"Aiseau-Presles","MR",3,"DEFOURNY","François","M","","","","","","","","",""
6250,"Aiseau-Presles","MR",2,"LALA","Carmelina","F","","","","","","","","",""
6250,"Aiseau-Presles","MR",1,"DEPREZ","Jean-Pierre","M","","","","","","","","",""
6250,"Aiseau-Presles","ACAP6250",4,"CORNILLE","Florine","F","","","","","","","","",""
6250,"Aiseau-Presles","ACAP6250",3,"TERZI","Franco","M","","","","","","","","",""
6250,"Aiseau-Presles","ACAP6250",2,"STAMPART","Odile","F","","","","","","","","",""
6250,"Aiseau-Presles","ACAP6250",1,"GARBAR","Eric","M","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",21,"GROLAUX","Jean-Claude","M","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",20,"BASTIN BRUART","Martine","F","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",19,"RANSQUIN","Fabrice","M","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",18,"TEDESCO","Carine","F","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",17,"MORAUX","Jean-Marie","M","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",16,"HALSEN","Janine","F","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",15,"PENNUCCI","David","M","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",14,"GILLIARD","Stéphanie","F","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",13,"GRAVY","Alain","M","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",12,"LAMBOT","Karine","F","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",11,"BEN MEKKI","Abdelilah","M","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",10,"D'AGOSTINO","Anna-Vittoria","F","","","","","","","","",""
6250,"Aiseau-Presles","ENSEMBLE",9,"KAYA","Engin","M","","","","","","","","",""
