"zipcode","city"
6250,"Aiseau-Presles"
4540,"Amay"
5300,"Andenne"
1070,"Anderlecht"
6150,"Anderlues"
5537,"Anhée"
4430,"Ans"
4160,"Anthisnes"
7640,"Antoing"
6700,"Arlon"
5330,"Assesse"
7800,"Ath"
6717,"Attert"
6791,"Aubange"
4880,"Aubel"
1160,"Auderghem"
4340,"Awans"
4920,"Aywaille"
4837,"Baelen"
4690,"Bassenge"
6600,"Bastogne"
6500,"Beaumont"
5570,"Beauraing"
1320,"Beauvechain"
7972,"Beloeil"
1082,"Berchem-Sainte-Agathe"
4257,"Berloz"
7320,"Bernissart"
6687,"Bertogne"
6880,"Bertrix"
4610,"Beyne-Heusay"
7130,"Binche"
5555,"Bièvre"
4670,"Blegny"
6830,"Bouillon"
7300,"Boussu"
1420,"Braine-l'Alleud"
1440,"Braine-le-Château"
7090,"Braine-le-Comte"
4260,"Braives"
7940,"Brugelette"
7620,"Brunehaut"
1000,"Bruxelles"
4210,"Burdinne"
7760,"Celles (lez-Tournai)"
5630,"Cerfontaine"
7160,"Chapelle-lez-Herlaimont"
6000,"Charleroi"
1450,"Chastre"
4053,"Chaudfontaine"
1325,"Chaumont-Gistoux"
6460,"Chimay"
6810,"Chiny"
7950,"Chièvres"
6200,"Châtelet"
5590,"Ciney"
4560,"Clavier"
7340,"Colfontaine"
4170,"Comblain-au-Pont"
7780,"Comines-Warneton"
6180,"Courcelles"
1490,"Court-Saint-Etienne"
5660,"Couvin"
4367,"Crisnée"
4607,"Dalhem"
6929,"Daverdisse"
5500,"Dinant"
4820,"Dison"
5680,"Doische"
4357,"Donceel"
7370,"Dour"
6940,"Durbuy"
7190,"Ecaussinnes"
5310,"Eghezée"
7890,"Ellezelles"
7850,"Enghien"
4480,"Engis"
6997,"Erezée"
6560,"Erquelinnes"
4130,"Esneux"
7730,"Estaimpuis"
7120,"Estinnes"
6740,"Etalle"
1040,"Etterbeek"
1140,"Evere"
4317,"Faimes"
6240,"Farciennes"
6637,"Fauvillers"
5380,"Fernelmont"
4190,"Ferrières"
4347,"Fexhe-le-Haut-Clocher"
6220,"Fleurus"
7880,"Flobecq"
5150,"Floreffe"
5620,"Florennes"
6820,"Florenville"
4400,"Flémalle"
4620,"Fléron"
6140,"Fontaine-l'Evêque"
1190,"Forest"
5070,"Fosses-la-Ville"
7080,"Frameries"
7911,"Frasnes-lez-Anvaing"
6440,"Froidchapelle"
1083,"Ganshoren"
5575,"Gedinne"
4250,"Geer"
5030,"Gembloux"
1470,"Genappe"
6280,"Gerpinnes"
5340,"Gesves"
6671,"Gouvy"
1390,"Grez-Doiceau"
4460,"Grâce-Hollogne"
6720,"Habay"
6120,"Ham-sur-Heure-Nalinnes"
4180,"Hamoir"
5363,"Hamois"
4280,"Hannut"
5540,"Hastière"
5370,"Havelange"
7350,"Hensies"
6887,"Herbeumont"
4040,"Herstal"
4650,"Herve"
7387,"Honnelles"
6990,"Hotton"
6660,"Houffalize"
5560,"Houyet"
4500,"Huy"
1357,"Hélécine"
4218,"Héron"
1315,"Incourt"
1460,"Ittre"
1050,"Ixelles"
4845,"Jalhay"
5190,"Jemeppe-sur-Sambre"
1090,"Jette"
1370,"Jodoigne"
4450,"Juprelle"
7050,"Jurbise"
1081,"Koekelberg"
1310,"La Hulpe"
7100,"La Louvière"
6980,"La Roche-en-Ardenne"
1380,"Lasne"
7070,"Le Roeulx"
7870,"Lens"
6210,"Les Bons Villers"
7860,"Lessines"
7900,"Leuze-en-Hainaut"
6890,"Libin"
6800,"Libramont-Chevigny"
4990,"Lierneux"
4830,"Limbourg"
4287,"Lincent"
4000,"Liège"
6540,"Lobbes"
6860,"Léglise"
4960,"Malmedy"
7170,"Manage"
6960,"Manhay"
6900,"Marche-en-Famenne"
4570,"Marchin"
6630,"Martelange"
6769,"Meix-Devant-Virton"
6567,"Merbes-le-Château"
6780,"Messancy"
5640,"Mettet"
4577,"Modave"
1080,"Molenbeek-Saint-Jean"
6590,"Momignies"
7000,"Mons"
1435,"Mont-Saint-Guibert"
7750,"Mont-de-l'Enclus"
6110,"Montigny-le-Tilleul"
7140,"Morlanwelz"
7700,"Mouscron"
6750,"Musson"
5000,"Namur"
4550,"Nandrin"
6950,"Nassogne"
6840,"Neufchâteau"
4120,"Neupré"
1400,"Nivelles"
5350,"Ohey"
4877,"Olne"
5520,"Onhaye"
4360,"Oreye"
1350,"Orp-Jauche"
1340,"Ottignies-Louvain-la-Neuve"
4590,"Ouffet"
4684,"Oupeye"
6850,"Paliseul"
7740,"Pecq"
4860,"Pepinster"
1360,"Perwez"
5600,"Philippeville"
4850,"Plombières"
6230,"Pont-à-Celles"
5170,"Profondeville"
7600,"Péruwelz"
7390,"Quaregnon"
7380,"Quiévrain"
7041,"Quévy"
1367,"Ramillies"
1430,"Rebecq"
4350,"Remicourt"
6987,"Rendeux"
1330,"Rixensart"
5580,"Rochefort"
6767,"Rouvroy"
7618,"Rumes"
4470,"Saint-Georges-sur-Meuse"
7333,"Saint-Ghislain"
1060,"Saint-Gilles"
6870,"Saint-Hubert"
1210,"Saint-Josse-Ten-Noode"
6747,"Saint-Léger"
4420,"Saint-Nicolas (liège)"
6680,"Sainte-Ode"
5060,"Sambreville"
1030,"Schaerbeek"
7180,"Seneffe"
4100,"Seraing"
7830,"Silly"
6470,"Sivry-Rance"
7060,"Soignies"
5140,"Sombreffe"
5377,"Somme-Leuze"
4630,"Soumagne"
4900,"Spa"
4140,"Sprimont"
4970,"Stavelot"
4987,"Stoumont"
6927,"Tellin"
6970,"Tenneville"
4910,"Theux"
4890,"Thimister-Clermont"
6530,"Thuin"
4557,"Tinlot"
6730,"Tintigny"
7500,"Tournai"
4980,"Trois-Ponts"
4870,"Trooz"
1480,"Tubize"
1180,"Uccle"
6640,"Vaux-sur-Sûre"
4537,"Verlaine"
4800,"Verviers"
6690,"Vielsalm"
1495,"Villers-la-Ville"
4530,"Villers-le-Bouillet"
5670,"Viroinval"
6760,"Virton"
4600,"Visé"
5550,"Vresse-sur-Semois"
1170,"Watermael-Boitsfort"
1200,"Woluwe-Saint-Lambert"
1150,"Woluwe-Saint-Pierre"
5530,"Yvoir"
