lastname,firstname,nickname,party,city_fr,city_nl,zipcode,cumuls_2017,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,cumuleo_url
Abad Gonzalez,Françoise,x,PS,Châtelet,Châtelet,6200,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/9251-francoise-abad-gonzalez.php
Abad-Perick,Myriam,x,PS,Blegny,Blegny,4670,16,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9250-myriam-abad-perick.php
Abbeloos,Dirk,x,CD&V,Termonde,Dendermonde,9200,13,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9248-dirk-abbeloos.php
Abel,Frédérique,x,PS,Thuin,Thuin,6530,5,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12155-frederique-abel.php
Abid,Rachida,x,CD&V,Wielsbeke,Wielsbeke,8710,2,oui,oui,oui,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16073-rachida-abid.php
Abrahams,Gui,x,sp.a,Gingelom,Gingelom,3890,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9244-gui-abrahams.php
Abrassart,Anne,x,x,Étalle,Étalle,6740,8,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13620-anne-abrassart.php
Absil,Coraline,x,MR,x,x,x,8,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12800-coraline-absil.php
Accou,Ann,x,CD&V,Deerlijk,Deerlijk,8540,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9240-ann-accou.php
Achten,Geert,x,N-VA,Hoeselt,Hoeselt,3730,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13621-geert-achten.php
Achten,Jules,x,Open VLD,Zonhoven,Zonhoven,3520,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9235-jules-achten.php
Achten,Niels,x,CD&V,Neerpelt,Neerpelt,3910,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13622-niels-achten.php
Acke,Frank,x,CD&V,Wevelgem,Wevelgem,8560,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9233-frank-acke.php
Acke,Martin,x,CD&V,Zelzate,Zelzate,9060,19,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,,https://www.cumuleo.be/mandataire/9232-martin-acke.php
Adam,André,x,cdH,Saint-Hubert,Saint-Hubert,6870,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13623-andre-adam.php
Adam,Jean,x,x,Mettet,Mettet,5640,9,oui,,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16796-jean-adam.php
Adam,Jean-Claude,x,cdH,Martelange,Martelange,6630,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/9228-jean-claude-adam.php
Adam,John,x,Open VLD,Audenarde,Oudenaarde,9700,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9227-john-adam.php
Adam,Patrick,x,PS,x,x,x,16,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10665-patrick-adam.php
Adam,Raphaël,x,MR,Doische,Doische,5680,3,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12802-raphael-adam.php
Adams,Greetje,x,CD&V,Tongres,Tongeren,3700,2,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15600-greetje-adams.php
Adine,Kamal,x,MR,Anderlecht,Anderlecht,1070,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13480-kamal-adine.php
Adriaens,Marc,x,sp.a,Halen,Halen,3545,2,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13625-marc-adriaens.php
Adriaens,Pascale,x,Open VLD,Zwalm,Zwalm,9630,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13626-pascale-adriaens.php
Adriaensen,Karolien,x,x,Retie,Retie,2470,10,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15601-karolien-adriaensen.php
