"list","zipcode","city"
" PS-AC",7911,"Frasnes-lez-Anvaing"
"#NAME?",6460,"Chimay"
"#NAME?",1470,"Genappe"
"#PEP'S",5660,"Couvin"
"100% Citoyen",7140,"Morlanwelz"
"3ème Piste",6840,"Neufchâteau"
"6tem-ic",7320,"Bernissart"
"@ROC",5330,"Assesse"
"@ctions",4850,"Plombières"
"A,aV",6987,"Rendeux"
"A.C#BOURGMESTR",1390,"Grez-Doiceau"
"A.L.L.-Libéral",1380,"Lasne"
"AC",6660,"Houffalize"
"AC",7160,"Chapelle-lez-Herlaimont"
"AC",6820,"Florenville"
"AC",6440,"Froidchapelle"
"AC",6590,"Momignies"
"AC - Action Citoyenne",7600,"Péruwelz"
"AC+",7180,"Seneffe"
"AC3",4400,"Flémalle"
"ACAP6250",6250,"Aiseau-Presles"
"ACBM",4837,"Baelen"
"ACE",,
"ACE",6470,"Sivry-Rance"
"ACTION",6880,"Bertrix"
"ACTION",5590,"Ciney"
"ACTION",7780,"Comines-Warneton"
"ACÉ",,
"AD&N",5300,"Andenne"
"ADF",4317,"Faimes"
"ADN",5560,"Houyet"
"AGIR",7140,"Morlanwelz"
"AGIR",4053,"Chaudfontaine"
"AGIR",4820,"Dison"
"AGIR",6200,"Châtelet"
"AGIR",4620,"Fléron"
"AGIR",4000,"Liège"
"AGIR",7170,"Manage"
"AGIR",7100,"La Louvière"
"AGIR",6220,"Fleurus"
"AGIR",6000,"Charleroi"
"AGIR",4100,"Seraing"
"AGIR",7080,"Frameries"
"AGIR ENSEMBLE",6840,"Neufchâteau"
"AGIR ENSEMBLE ",4590,"Ouffet"
"AGORA",7300,"Boussu"
"AGORA",7350,"Hensies"
"AGORA",4130,"Esneux"
"AGORA",7370,"Dour"
"AGORA - CDH",7000,"Mons"
"AJC",6150,"Anderlues"
"ALLIANCE",4219,"Wasseiges"
"ALN",5330,"Assesse"
"ALTERNATIVE",6830,"Bouillon"
"ALTERNATIVE",7050,"Jurbise"
"ALTERNATIVE(S)",6600,"Bastogne"
"AMAY.PLUS",4540,"Amay"
"ARC",1325,"Chaumont-Gistoux"
"ARC ",6500,"Beaumont"
"ARLON 2030",6700,"Arlon"
"AUBEL DEMAIN",4880,"Aubel"
"AUBELCITOYEN",4880,"Aubel"
"AUTREMENT",5377,"Somme-Leuze"
"AVEC VOUS",4980,"Trois-Ponts"
"AVEC VOUS",1390,"Grez-Doiceau"
"AVEC VOUS",6687,"Bertogne"
"AVENIR",1340,"Ottignies-Louvain-la-Neuve"
"AVENIR COMMUNAL",1457,"Walhain"
"Acor+",5330,"Assesse"
"Action",6850,"Paliseul"
"Action",6887,"Herbeumont"
"ActionS",7740,"Pecq"
"Ad 11 ",5620,"Florennes"
"Agir Ensemble",5600,"Philippeville"
"Alt-Citoyenne",6637,"Fauvillers"
"Alternative",6887,"Herbeumont"
"Alternative",4837,"Baelen"
"Alternative",4630,"Soumagne"
"Alternative",4960,"Malmedy"
"Alternative",7070,"Le Roeulx"
"Alternative-plus",4900,"Spa"
"Anhée vers +",5537,"Anhée"
"Aux12GEDIoui",5575,"Gedinne"
"Avançons Musson",6750,"Musson"
"Avec Vous",6960,"Manhay"
"Avenir",5540,"Hastière"
"Aywail'Demain ",4920,"Aywaille"
"B. ENSEMBLE",1320,"Beauvechain"
"B.A.s.e.",4260,"Braives"
"BAILLI",5030,"Gembloux"
"BE",7940,"Brugelette"
"BOUGE",6460,"Chimay"
